source,target,edge_type
tx_0,tx_1003,same_card
tx_0,tx_7941,same_card
tx_0,tx_4048,same_device
tx_0,tx_4536,same_device
tx_0,tx_10211,same_device
tx_0,tx_15101,same_device
tx_1,tx_3783,same_card
tx_1,tx_2767,same_card
tx_1,tx_923,same_device
tx_1,tx_1304,same_device
tx_1,tx_10762,same_device
tx_1,tx_16925,same_device
tx_2,tx_2852,same_card
tx_2,tx_11162,same_device
tx_2,tx_11275,same_device
tx_2,tx_15407,same_device
tx_2,tx_16132,same_device
tx_2,tx_17861,same_device
tx_2,tx_1995,same_merchant
tx_2,tx_2893,same_merchant
tx_2,tx_2718,same_merchant
tx_2,tx_10410,same_merchant
tx_2,tx_8486,same_merchant
tx_2,tx_18178,same_merchant
tx_2,tx_14663,same_merchant
tx_3,tx_6391,same_card
tx_3,tx_3141,same_device
tx_3,tx_5133,same_device
tx_3,tx_6471,same_device
tx_3,tx_8977,same_device
tx_3,tx_9850,same_device
tx_3,tx_12951,same_device
tx_3,tx_13611,same_device
tx_3,tx_19771,same_device
tx_4,tx_6085,same_card
tx_4,tx_13029,same_card
tx_4,tx_2655,same_device
tx_4,tx_6844,same_device
tx_4,tx_8921,same_device
tx_4,tx_12676,same_device
tx_4,tx_14796,same_device
tx_4,tx_16133,same_device
tx_5,tx_2379,same_card
tx_5,tx_5934,same_card
tx_5,tx_1907,same_device
tx_5,tx_5333,same_device
tx_5,tx_12383,same_device
tx_5,tx_15767,same_device
tx_6,tx_13943,same_card
tx_6,tx_4538,same_card
tx_6,tx_1042,same_device
tx_6,tx_2373,same_device
tx_6,tx_4868,same_device
tx_6,tx_5199,same_device
tx_6,tx_6441,same_device
tx_6,tx_6615,same_device
tx_6,tx_9247,same_device
tx_6,tx_10489,same_device
tx_6,tx_12730,same_device
tx_7,tx_16527,same_card
tx_7,tx_3951,same_card
tx_7,tx_715,same_device
tx_7,tx_931,same_device
tx_7,tx_1550,same_device
tx_7,tx_1885,same_device
tx_7,tx_9182,same_device
tx_7,tx_10097,same_device
tx_7,tx_14086,same_device
tx_7,tx_14700,same_device
tx_7,tx_16110,same_device
tx_8,tx_2030,same_card
tx_8,tx_14431,same_card
tx_8,tx_15507,same_card
tx_8,tx_18876,same_card
tx_8,tx_4696,same_device
tx_8,tx_11396,same_device
tx_8,tx_12359,same_device
tx_8,tx_13349,same_device
tx_8,tx_13585,same_device
tx_9,tx_11344,same_card
tx_9,tx_2127,same_device
tx_9,tx_8159,same_device
tx_9,tx_8617,same_device
tx_9,tx_10494,same_device
tx_9,tx_16438,same_device
tx_9,tx_19507,same_device
tx_10,tx_574,same_card
tx_10,tx_2458,same_card
tx_10,tx_2686,same_card
tx_10,tx_16212,same_card
tx_10,tx_304,same_device
tx_10,tx_2796,same_device
tx_10,tx_6829,same_device
tx_10,tx_13813,same_device
tx_10,tx_15219,same_device
tx_10,tx_16874,same_device
tx_10,tx_18391,same_device
tx_10,tx_19177,same_merchant
tx_10,tx_1975,same_merchant
tx_10,tx_7696,same_merchant
tx_10,tx_2294,same_merchant
tx_10,tx_6660,same_merchant
tx_10,tx_5858,same_merchant
tx_10,tx_18228,same_merchant
tx_11,tx_11298,same_card
tx_11,tx_5362,same_card
tx_11,tx_8994,same_device
tx_11,tx_9903,same_device
tx_11,tx_10425,same_device
tx_11,tx_11166,same_device
tx_11,tx_13957,same_device
tx_11,tx_16499,same_device
tx_12,tx_17555,same_card
tx_12,tx_5279,same_card
tx_12,tx_2464,same_device
tx_12,tx_4004,same_device
tx_12,tx_6248,same_device
tx_12,tx_7907,same_device
tx_12,tx_9117,same_device
tx_12,tx_15696,same_device
tx_12,tx_17156,same_device
tx_12,tx_19484,same_device
tx_12,tx_19972,same_merchant
tx_12,tx_15208,same_merchant
tx_12,tx_6329,same_merchant
tx_12,tx_19366,same_merchant
tx_12,tx_16098,same_merchant
tx_12,tx_7457,same_merchant
tx_12,tx_2810,same_merchant
tx_13,tx_4708,same_card
tx_13,tx_11873,same_card
tx_13,tx_1664,same_device
tx_13,tx_8484,same_device
tx_13,tx_11352,same_device
tx_13,tx_14050,same_device
tx_14,tx_4312,same_card
tx_14,tx_9262,same_card
tx_14,tx_1485,same_device
tx_14,tx_4667,same_device
tx_14,tx_6061,same_device
tx_14,tx_9619,same_device
tx_14,tx_16174,same_device
tx_14,tx_16355,same_device
tx_15,tx_7456,same_card
tx_15,tx_9864,same_card
tx_15,tx_3466,same_device
tx_15,tx_5736,same_device
tx_15,tx_10545,same_device
tx_15,tx_13442,same_device
tx_15,tx_15680,same_device
tx_15,tx_17371,same_device
tx_15,tx_18481,same_device
tx_16,tx_16113,same_card
tx_16,tx_19984,same_card
tx_16,tx_3452,same_device
tx_16,tx_11101,same_device
tx_16,tx_8004,same_merchant
tx_16,tx_8430,same_merchant
tx_16,tx_17879,same_merchant
tx_16,tx_11063,same_merchant
tx_16,tx_8726,same_merchant
tx_16,tx_699,same_merchant
