tx_id,card_id,device_id,merchant_id,amount,timestamp,merchant_category,is_high_risk_merchant,location_distance_km,label
tx_0,card_2619,dev_456,m_25,28.16,2024-01-04T00:14:34,entertainment,0,14.72,0
tx_1,card_1003,dev_914,m_142,10.18,2024-01-01T04:04:13,electronics,0,27.85,0
tx_2,card_3654,dev_2233,m_89,3.59,2024-01-03T00:16:10,fashion,0,28.69,0
tx_3,card_130,dev_122,m_95,1.25,2024-01-04T12:05:07,food,0,16.51,0
tx_4,card_952,dev_2069,m_616,107.19,2024-01-01T05:43:42,grocery,0,1.95,0
tx_5,card_2298,dev_814,m_733,21.77,2024-01-01T17:51:15,fashion,0,1.99,0
tx_6,card_902,dev_1839,m_603,33.93,2024-01-01T08:15:40,entertainment,0,10.19,0
tx_7,card_3315,dev_26,m_777,20.73,2024-01-01T10:57:02,travel,0,9.71,0
tx_8,card_1393,dev_1138,m_159,36.54,2024-01-02T12:54:37,food,0,6.01,0
tx_9,card_3920,dev_3127,m_344,53.85,2024-01-01T01:08:29,electronics,1,16.37,0
tx_10,card_396,dev_1470,m_352,56.12,2024-01-01T04:29:13,entertainment,0,4.01,0
tx_11,card_3305,dev_177,m_747,69.17,2024-01-01T13:55:19,health,0,0.62,0
tx_12,card_2196,dev_511,m_387,7.81,2024-01-01T16:24:18,electronics,0,17.34,0
tx_13,card_3397,dev_2574,m_633,22.41,2024-01-01T17:37:07,utilities,0,13.31,0
tx_14,card_2364,dev_787,m_721,47.47,2024-01-01T04:54:19,electronics,1,16.08,0
tx_15,card_933,dev_3166,m_296,5.56,2024-01-01T05:14:06,electronics,0,7.57,0
tx_16,card_3549,dev_413,m_389,2.78,2024-01-01T09:26:41,entertainment,0,17.18,0
tx_17,card_1857,dev_2603,m_373,105.87,2024-01-01T10:35:22,travel,0,5.8,0
tx_18,card_858,dev_2745,m_273,19.79,2024-01-01T18:46:39,electronics,0,9.86,0
tx_19,card_700,dev_2187,m_746,4.65,2024-01-05T08:01:10,food,0,0.78,0
tx_20,card_669,dev_1893,m_388,88.77,2024-01-01T05:19:01,entertainment,0,20.46,0
tx_21,card_3790,dev_2621,m_704,88.51,2024-01-01T01:50:46,food,0,18.97,0
tx_22,card_2804,dev_1328,m_786,26.63,2024-01-01T02:57:20,grocery,0,9.97,0
tx_23,card_938,dev_3366,m_32,24.11,2024-01-01T01:34:33,utilities,0,19.63,0
tx_24,card_1643,dev_1096,m_67,22.35,2024-01-01T09:26:22,food,0,17.19,0
tx_25,card_3740,dev_2323,m_735,130.94,2024-01-01T15:20:15,utilities,0,25.34,0
tx_26,card_870,dev_2684,m_511,61.58390364056966,2024-01-02T05:58:44,fashion,1,10.42,1
tx_27,card_3623,dev_2633,m_469,88.43,2024-01-01T16:20:22,travel,0,28.07,0
tx_28,card_1010,dev_3051,m_574,44.38,2024-01-01T13:23:15,entertainment,0,6.31,0
tx_29,card_3059,dev_2394,m_438,22.64,2024-01-01T17:03:01,fashion,0,0.51,0
tx_30,card_1482,dev_898,m_141,142.88,2024-01-01T06:52:54,health,0,27.17,0
tx_31,card_372,dev_3095,m_48,15.59,2024-01-01T01:55:21,electronics,0,2.77,0
tx_32,card_655,dev_3244,m_696,20.53,2024-01-01T04:13:09,fashion,0,18.73,0
tx_33,card_2442,dev_260,m_394,97.68,2024-01-01T04:57:21,fashion,0,9.93,0
tx_34,card_2440,dev_1917,m_541,133.85,2024-01-01T18:36:08,entertainment,0,5.53,0
tx_35,card_3977,dev_2266,m_11,15.52,2024-01-01T13:22:09,electronics,0,0.09,0
tx_36,card_2199,dev_3075,m_273,102.23,2024-01-02T23:18:44,utilities,0,5.08,0
tx_37,card_456,dev_1202,m_445,32.42,2024-01-01T06:01:40,travel,0,1.48,0
tx_38,card_3906,dev_2957,m_736,7.66,2024-01-01T09:53:08,entertainment,0,2.58,0
tx_39,card_3980,dev_2050,m_780,43.89,2024-01-02T05:08:17,travel,0,11.06,0
tx_40,card_435,dev_2561,m_305,27.12,2024-01-04T13:37:37,food,0,23.78,0
tx_41,card_626,dev_1531,m_780,20.11,2024-01-01T00:54:07,travel,0,4.6,0
tx_42,card_3189,dev_2172,m_0,56.43,2024-01-01T16:45:52,utilities,0,2.11,0
tx_43,card_2001,dev_79,m_114,9.39,2024-01-01T16:08:04,utilities,0,9.52,0
tx_44,card_3599,dev_3406,m_314,254.64,2024-01-01T06:39:05,food,0,22.14,0
tx_45,card_237,dev_986,m_580,16.28,2024-01-02T07:15:57,electronics,1,16.28,0
tx_46,card_1990,dev_3342,m_70,27.51,2024-01-02T00:00:43,travel,0,13.8,0
tx_47,card_1946,dev_2251,m_169,5.68,2024-01-02T19:17:14,entertainment,0,37.86,0
tx_48,card_2161,dev_2484,m_433,23.21,2024-01-01T04:57:15,food,0,6.49,0
tx_49,card_3804,dev_2208,m_773,67.91,2024-01-01T00:24:05,food,0,2.55,0
tx_50,card_2920,dev_1276,m_408,43.06,2024-01-01T06:09:49,utilities,0,10.93,0
tx_51,card_1794,dev_2119,m_462,70.45,2024-01-01T11:44:06,electronics,0,12.1,0
